"STE_CODE16","calendar_year","sex","age_group","n_pressure_partner","p_pressure_partner"
8,"2008","female","15-18",NA,NA
8,"2008","male","15-18",NA,NA
8,"2013","female","15-18",3,0.75
8,"2013","male","15-18",NA,NA
8,"2018","female","15-18",6,0.32
8,"2018","male","15-18",7,0.29
8,"2021","female","15-18",2,0.13
8,"2021","male","15-18",3,0.33
8,"2021","tgd","15-18",NA,NA
1,"2008","female","15-18",NA,NA
1,"2008","male","15-18",NA,NA
1,"2013","female","15-18",30,0.38
1,"2013","male","15-18",10,0.34
1,"2018","female","15-18",140,0.41
1,"2018","male","15-18",54,0.2
1,"2018","tgd","15-18",3,0.12
1,"2021","female","15-18",63,0.32
1,"2021","male","15-18",13,0.13
1,"2021","tgd","15-18",10,0.28
7,"2008","female","15-18",NA,NA
7,"2008","male","15-18",NA,NA
7,"2013","female","15-18",4,0.5
7,"2013","male","15-18",NA,NA
7,"2018","female","15-18",11,0.55
7,"2018","male","15-18",3,0.38
7,"2021","female","15-18",1,0.11
7,"2021","male","15-18",NA,NA
3,"2008","female","15-18",NA,NA
3,"2008","male","15-18",NA,NA
3,"2013","female","15-18",9,0.38
3,"2013","male","15-18",8,0.36
3,"2018","female","15-18",89,0.37
3,"2018","male","15-18",47,0.25
3,"2018","tgd","15-18",2,0.2
3,"2021","female","15-18",67,0.34
3,"2021","male","15-18",17,0.15
3,"2021","tgd","15-18",8,0.26
4,"2008","female","15-18",NA,NA
4,"2008","male","15-18",NA,NA
4,"2013","female","15-18",8,0.35
4,"2013","male","15-18",6,0.4
4,"2018","female","15-18",35,0.35
4,"2018","male","15-18",21,0.22
4,"2018","tgd","15-18",1,0.08
4,"2021","female","15-18",29,0.36
4,"2021","male","15-18",1,0.04
4,"2021","tgd","15-18",5,0.5
6,"2008","female","15-18",NA,NA
6,"2008","male","15-18",NA,NA
6,"2013","female","15-18",3,0.38
6,"2013","male","15-18",2,0.5
6,"2018","female","15-18",16,0.43
6,"2018","male","15-18",8,0.28
6,"2018","tgd","15-18",2,0.67
6,"2021","female","15-18",9,0.33
6,"2021","male","15-18",6,0.35
6,"2021","tgd","15-18",1,0.14
2,"2008","female","15-18",NA,NA
2,"2008","male","15-18",NA,NA
2,"2013","female","15-18",15,0.33
2,"2013","male","15-18",13,0.32
2,"2018","female","15-18",117,0.39
2,"2018","male","15-18",55,0.2
2,"2018","tgd","15-18",7,0.39
2,"2021","female","15-18",54,0.3
2,"2021","male","15-18",24,0.19
2,"2021","tgd","15-18",9,0.18
5,"2008","female","15-18",NA,NA
5,"2008","male","15-18",NA,NA
5,"2013","female","15-18",36,0.32
5,"2013","male","15-18",14,0.23
5,"2013","tgd","15-18",NA,NA
5,"2018","female","15-18",37,0.42
5,"2018","male","15-18",12,0.15
5,"2018","tgd","15-18",2,0.33
5,"2021","female","15-18",22,0.32
5,"2021","male","15-18",12,0.23
5,"2021","tgd","15-18",1,0.08
